object,x,y
b,11,0
b,12,0
b,13,0
b,14,0
b,15,0
b,16,0
b,17,0
b,18,0
b,19,0
b,20,0
b,21,0
b,22,0
b,23,0
b,24,0
b,25,0
us,15,1
us,24,1
us,25,1

b,33,0
b,33,1
b,34,1
b,35,1
b,36,1
b,37,1
b,38,1
b,39,1
b,40,1
b,41,1
b,42,1
b,43,1
b,44,1
b,44,0
us,40,2
us,45,0
us,46,0
us,47,0


b,56,0
us,57,0
us,58,0
b,59,0
b,59,1
b,60,1
b,61,1
b,61,0
us,62,0

b,63,5
ds,63,4
b,64,5
ds,64,4
b,65,5
ds,65,4
b,66,5
ds,66,4
b,67,5
ds,67,4

us,68,0
b,69,0
b,69,1
b,70,1
b,71,1
b,71,0
us,72,0
us,73,0
b,74,0
b,74,1
b,74,2
us,75,0
us,76,0
us,77,0

b,78,0
b,78,1
b,78,2
b,79,2
ds,79,1
b,80,2
ds,80,1
b,81,2
ds,81,1
b,82,2
ds,82,1
b,82,3
b,82,4
b,83,4
ds,83,3
b,84,4
ds,84,3
b,85,4
ds,85,3
b,86,4
ds,86,3
b,86,5
b,86,6
b,87,6
ds,87,5
b,88,6
ds,88,5
b,89,6
b,89,5
b,89,4
b,89,3
b,89,2
b,89,1
b,89,0

us,90,0
us,91,0
us,92,0
us,93,0
yo,93,7
us,94,0
us,95,0
us,96,0
b,97,6
b,97,5
b,97,4
b,97,3
b,97,2
b,97,1
b,97,0
b,98,6
b,98,5
b,98,4
b,98,3
b,98,2
b,98,1
b,98,0
us,99,0
us,100,0
b,101,0
b,101,1
b,101,2
b,101,3
b,102,0
b,102,1
b,102,2
b,102,3
us,103,0
us,104,0
us,105,0
bo,105,2
us,106,0

b,107,7
b,108,7
b,109,7
b,110,7
b,111,7
ds,111,6
b,113,9
b,114,9
b,115,9
b,116,9
ds,116,8
go,119,9

b,107,0
b,108,0
b,109,0
b,110,0
b,111,0
b,114,0
b,115,0
b,118,0
b,119,0
b,122,0
us,107,1
us,108,1
us,109,1
us,110,1
b,111,1
b,112,1
b,113,1
b,114,1
b,115,1
b,118,1
b,119,1
b,122,1
us,111,2
us,112,2
us,113,2
us,114,2
b,115,2
b,116,2
b,117,2
b,118,2
b,119,2
b,122,2
us,115,3
us,116,3
us,117,3
us,118,3
b,119,3
b,120,3
b,121,3
b,122,3
us,119,4
us,120,4
us,121,4
us,122,4

us,133,0
us,134,0
us,139,0
us,140,0

b,145,0
b,145,1
b,146,1
b,147,1
b,148,1
us,148,2
ro,151,2
us,154,2
b,154,1
b,155,1
b,156,1
b,157,1
b,157,0
ds,146,0
ds,147,0
ds,148,0
us,149,0
us,150,0
us,151,0
us,152,0
us,153,0
ds,154,0
ds,155,0
ds,156,0

b,164,0
b,165,0
us,166,0
us,167,0
b,168,0
b,168,1
b,168,2
b,169,0
b,169,1
b,169,2
us,170,0
us,171,0
us,172,0
po,172,1
us,173,0
us,174,0
ds,173,4.5
b,173,5.5
b,173,6.5

us,180,0
us,181,0
us,182,0
us,184,0
us,187,0
us,188,0
us,190,0
us,191,0
us,193,0
us,195,0
us,197,0
us,199,0
us,201,0
us,203,0
us,204,0
us,205,0
us,207,0
us,209,0
b,179,0
b,179,1
b,183,0
b,183,1
b,183,2
b,183,3
b,185,0
b,185,1
b,185,2
b,186,0
b,186,1
b,186,2
b,189,0
b,189,1
b,189,2
b,189,3
b,189,4
b,192,0
b,192,1
b,192,2
b,192,3
b,192,4
b,192,5
b,192,6
b,194,0
b,194,1
b,194,2
b,194,3
b,194,4
b,194,5
b,196,0
b,196,1
b,196,2
b,196,3
b,196,4
b,198,0
b,198,1
b,198,2
b,198,3
b,200,0
b,200,1
b,200,2
b,202,0
b,202,1
ds,202,4
b,202,5
b,202,6
b,202,7
b,206,0
b,206,1
b,206,2
b,208,0
b,208,1
b,210,0
